Protein_IDs,Progulon_ID,Mean_RF_score,Score_StDev,Training_label,Used_for_positive_training,Feature_count,Protein_names,Gene_names,Summed_intensities,prot_in_prn,Manual_annotation,Highlight_genes
O00330-3;O00330,P09,0.518968303270861,0.125092793273405,,,182,"Pyruvate dehydrogenase protein X component, mitochondrial",PDHX,13110147190,yes,,
Q9GZY4,P09,0.518356933249373,0.083097701821546,,,78,Cytochrome c oxidase assembly factor 1 homolog,COA1,426542849,yes,,
P54819,P09,0.51826585644416,0.105819703075078,,,232,"Adenylate kinase 2, mitochondrial;Adenylate kinase 2, mitochondrial, N-terminally processed",AK2,270256397164,yes,,
Q9Y228-2;Q9Y228;Q9Y228-3,P09,0.517425840054973,0.096514713548434,,,81,TRAF3-interacting JNK-activating modulator,TRAF3IP3,2876075500,yes,,
O95372,P09,0.517371613602552,0.08166737837925,,,226,Acyl-protein thioesterase 2,LYPLA2,69890917980,yes,,
Q9BV79;Q9BV79-2,P09,0.517243033292926,0.14341441811009,,,125,"Trans-2-enoyl-CoA reductase, mitochondrial",MECR,4220510840,yes,,
P29474,P09,0.517140524988318,0.019003772290107,,,38,"Nitric oxide synthase, endothelial",NOS3,42140593040,yes,,
Q05823;Q05823-2,P09,0.516883983944266,0.122553262739665,,,89,2-5A-dependent ribonuclease,RNASEL,831950729,yes,,
P60602,P09,0.516796952056599,0.089593619442222,,,139,Reactive oxygen species modulator 1,ROMO1,4812241079,yes,,
O43169,P09,0.516657084974699,0.077382536505212,,,203,Cytochrome b5 type B,CYB5B,59688546700,yes,,
O95299;O95299-2,P09,0.516514507757552,0.112420847074506,,,233,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial",NDUFA10,65023593422,yes,Complex I,
P42126;P42126-2,P09,0.51585942556622,0.1044836704424,,,214,"Enoyl-CoA delta isomerase 1, mitochondrial",ECI1,71397228880,yes,,
Q9Y3E5,P09,0.515589686108967,0.105328471298457,,,241,"Peptidyl-tRNA hydrolase 2, mitochondrial",PTRH2,42843705360,yes,,
O94826,P09,0.515538047430694,0.08640540257684,,,240,Mitochondrial import receptor subunit TOM70,TOMM70A,115199165646,yes,,
O14957,P09,0.515195394632633,0.044105502399619,,,61,Cytochrome b-c1 complex subunit 10,UQCR11,1579402750,yes,Complex III,
P21953,P09,0.514542858787065,0.105755767773255,,,149,"2-oxoisovalerate dehydrogenase subunit beta, mitochondrial",BCKDHB,14474486170,yes,,
P11310;P11310-2,P09,0.514411100749681,0.110592453465435,,,225,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",ACADM,74438044987,yes,FAO,
Q8WWC4,P09,0.513571470451373,0.112816312743959,,,167,"Uncharacterized protein C2orf47, mitochondrial",C2orf47,8466845680,yes,,
Q02252;Q02252-2,P09,0.513381693340967,0.126391212784624,,,233,"Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial",ALDH6A1,31988311220,yes,,
Q92947;Q92947-2,P09,0.510688140344416,0.087293094583962,,,188,"Glutaryl-CoA dehydrogenase, mitochondrial",GCDH,15502149620,yes,,
P45954;P45954-2,P09,0.510175385397253,0.14983084109499,,,207,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",ACADSB,28248234470,yes,FAO,
