Entry	Entry name	Protein names
O00429	DNM1L_HUMAN	Dynamin-1-like protein (EC 3.6.5.5) (Dnm1p/Vps1p-like protein) (DVLP) (Dynamin family member proline-rich carboxyl-terminal domain less) (Dymple) (Dynamin-like protein) (Dynamin-like protein 4) (Dynamin-like protein IV) (HdynIV) (Dynamin-related protein 1)
Q9Y6K1	DNM3A_HUMAN	DNA (cytosine-5)-methyltransferase 3A (Dnmt3a) (EC 2.1.1.37) (DNA methyltransferase HsaIIIA) (DNA MTase HsaIIIA) (M.HsaIIIA)
Q6XZF7	DNMBP_HUMAN	Dynamin-binding protein (Scaffold protein Tuba)
P26358	DNMT1_HUMAN	DNA (cytosine-5)-methyltransferase 1 (Dnmt1) (EC 2.1.1.37) (CXXC-type zinc finger protein 9) (DNA methyltransferase HsaI) (DNA MTase HsaI) (M.HsaI) (MCMT)
Q9ULA0	DNPEP_HUMAN	Aspartyl aminopeptidase (EC 3.4.11.21)
O43598	DNPH1_HUMAN	2'-deoxynucleoside 5'-phosphate N-hydrolase 1 (EC 3.2.2.-) (c-Myc-responsive protein RCL)
O00115	DNS2A_HUMAN	Deoxyribonuclease-2-alpha (EC 3.1.22.1) (Acid DNase) (Deoxyribonuclease II alpha) (DNase II alpha) (Lysosomal DNase II) (R31240_2)
P49184	DNSL1_HUMAN	Deoxyribonuclease-1-like 1 (EC 3.1.21.-) (DNase X) (Deoxyribonuclease I-like 1) (DNase I-like 1) (Muscle-specific DNase I-like) (XIB)
Q96BY6	DOC10_HUMAN	Dedicator of cytokinesis protein 10 (Zizimin-3)
Q5JSL3	DOC11_HUMAN	Dedicator of cytokinesis protein 11 (Activated Cdc42-associated guanine nucleotide exchange factor) (ACG) (Zizimin-2)
Q14185	DOCK1_HUMAN	Dedicator of cytokinesis protein 1 (180 kDa protein downstream of CRK) (DOCK180)
Q9H7D0	DOCK5_HUMAN	Dedicator of cytokinesis protein 5
Q96HP0	DOCK6_HUMAN	Dedicator of cytokinesis protein 6
Q96N67	DOCK7_HUMAN	Dedicator of cytokinesis protein 7
Q9BZ29	DOCK9_HUMAN	Dedicator of cytokinesis protein 9 (Cdc42 guanine nucleotide exchange factor zizimin-1) (Zizimin-1)
Q9BU89	DOHH_HUMAN	Deoxyhypusine hydroxylase (hDOHH) (EC 1.14.99.29) (Deoxyhypusine dioxygenase) (Deoxyhypusine monooxygenase) (HEAT-like repeat-containing protein 1)
Q9Y3R5	DOP2_HUMAN	Protein dopey-2
Q9UKG1	DP13A_HUMAN	DCC-interacting protein 13-alpha (Dip13-alpha) (Adapter protein containing PH domain, PTB domain and leucine zipper motif 1)
Q8NEU8	DP13B_HUMAN	DCC-interacting protein 13-beta (Dip13-beta) (Adapter protein containing PH domain, PTB domain and leucine zipper motif 2)
Q9BVM2	DPCD_HUMAN	Protein DPCD
Q9BZG8	DPH1_HUMAN	2-(3-amino-3-carboxypropyl)histidine synthase subunit 1 (EC 2.5.1.108) (Diphthamide biosynthesis protein 1) (Diphtheria toxin resistance protein 1) (Ovarian cancer-associated gene 1 protein) (S-adenosyl-L-methionine:L-histidine 3-amino-3-carboxypropyltransferase 1)
Q9BQC3	DPH2_HUMAN	2-(3-amino-3-carboxypropyl)histidine synthase subunit 2 (EC 2.5.1.108) (Diphthamide biosynthesis protein 2) (Diphtheria toxin resistance protein 2) (S-adenosyl-L-methionine:L-histidine 3-amino-3-carboxypropyltransferase 2)
Q9H2P9	DPH5_HUMAN	Diphthine methyl ester synthase (EC 2.1.1.314) (Diphthamide biosynthesis methyltransferase)
Q7L8W6	DPH6_HUMAN	Diphthine--ammonia ligase (EC 6.3.1.14) (ATP-binding domain-containing protein 4) (Diphthamide synthase) (Diphthamide synthetase) (Protein DPH6 homolog)
O60762	DPM1_HUMAN	Dolichol-phosphate mannosyltransferase subunit 1 (EC 2.4.1.83) (Dolichol-phosphate mannose synthase subunit 1) (DPM synthase subunit 1) (Dolichyl-phosphate beta-D-mannosyltransferase subunit 1) (Mannose-P-dolichol synthase subunit 1) (MPD synthase subunit 1)
Q9P2X0	DPM3_HUMAN	Dolichol-phosphate mannosyltransferase subunit 3 (Dolichol-phosphate mannose synthase subunit 3) (DPM synthase subunit 3) (Dolichyl-phosphate beta-D-mannosyltransferase subunit 3) (Mannose-P-dolichol synthase subunit 3) (MPD synthase subunit 3) (Prostin-1)
Q14181	DPOA2_HUMAN	DNA polymerase alpha subunit B (DNA polymerase alpha 70 kDa subunit)
P28340	DPOD1_HUMAN	DNA polymerase delta catalytic subunit (EC 2.7.7.7) (EC 3.1.11.-) (DNA polymerase subunit delta p125)
P49005	DPOD2_HUMAN	DNA polymerase delta subunit 2 (DNA polymerase delta subunit p50)
Q15054	DPOD3_HUMAN	DNA polymerase delta subunit 3 (DNA polymerase delta subunit C) (DNA polymerase delta subunit p66) (DNA polymerase delta subunit p68)
Q07864	DPOE1_HUMAN	DNA polymerase epsilon catalytic subunit A (EC 2.7.7.7) (DNA polymerase II subunit A)
P54098	DPOG1_HUMAN	DNA polymerase subunit gamma-1 (EC 2.7.7.7) (Mitochondrial DNA polymerase catalytic subunit) (PolG-alpha)
Q9UHN1	DPOG2_HUMAN	DNA polymerase subunit gamma-2, mitochondrial (EC 2.7.7.7) (DNA polymerase gamma accessory 55 kDa subunit) (p55) (Mitochondrial DNA polymerase accessory subunit) (MtPolB) (PolG-beta)
P09884	DPOLA_HUMAN	DNA polymerase alpha catalytic subunit (EC 2.7.7.7) (DNA polymerase alpha catalytic subunit p180)
P06746	DPOLB_HUMAN	DNA polymerase beta (EC 2.7.7.7) (EC 4.2.99.-)
O60673	REV3L_HUMAN	DNA polymerase zeta catalytic subunit (EC 2.7.7.7) (Protein reversionless 3-like) (REV3-like) (hREV3)
Q9UHL4	DPP2_HUMAN	Dipeptidyl peptidase 2 (EC 3.4.14.2) (Dipeptidyl aminopeptidase II) (Dipeptidyl peptidase 7) (Dipeptidyl peptidase II) (DPP II) (Quiescent cell proline dipeptidase)
Q9NY33	DPP3_HUMAN	Dipeptidyl peptidase 3 (EC 3.4.14.4) (Dipeptidyl aminopeptidase III) (Dipeptidyl arylamidase III) (Dipeptidyl peptidase III) (DPP III) (Enkephalinase B)
Q6V1X1	DPP8_HUMAN	Dipeptidyl peptidase 8 (DP8) (EC 3.4.14.5) (Dipeptidyl peptidase IV-related protein 1) (DPRP-1) (Dipeptidyl peptidase VIII) (DPP VIII) (Prolyl dipeptidase DPP8)
Q86TI2	DPP9_HUMAN	Dipeptidyl peptidase 9 (DP9) (EC 3.4.14.5) (Dipeptidyl peptidase IV-related protein 2) (DPRP-2) (Dipeptidyl peptidase IX) (DPP IX) (Dipeptidyl peptidase-like protein 9) (DPLP9)
Q8TB45	DPTOR_HUMAN	DEP domain-containing mTOR-interacting protein (DEP domain-containing protein 6)
Q12882	DPYD_HUMAN	Dihydropyrimidine dehydrogenase [NADP(+)] (DHPDHase) (DPD) (EC 1.3.1.2) (Dihydrothymine dehydrogenase) (Dihydrouracil dehydrogenase)
Q16555	DPYL2_HUMAN	Dihydropyrimidinase-related protein 2 (DRP-2) (Collapsin response mediator protein 2) (CRMP-2) (N2A3) (Unc-33-like phosphoprotein 2) (ULIP-2)
Q14195	DPYL3_HUMAN	Dihydropyrimidinase-related protein 3 (DRP-3) (Collapsin response mediator protein 4) (CRMP-4) (Unc-33-like phosphoprotein 1) (ULIP-1)
O14531	DPYL4_HUMAN	Dihydropyrimidinase-related protein 4 (DRP-4) (Collapsin response mediator protein 3) (CRMP-3) (UNC33-like phosphoprotein 4) (ULIP-4)
P01903	DRA_HUMAN	HLA class II histocompatibility antigen, DR alpha chain (MHC class II antigen DRA)
Q6UX65	DRAM2_HUMAN	DNA damage-regulated autophagy modulator protein 2 (Transmembrane protein 77)
Q16643	DREB_HUMAN	Drebrin (Developmentally-regulated brain protein)
Q9Y295	DRG1_HUMAN	Developmentally-regulated GTP-binding protein 1 (DRG-1) (Neural precursor cell expressed developmentally down-regulated protein 3) (NEDD-3)
P55039	DRG2_HUMAN	Developmentally-regulated GTP-binding protein 2 (DRG-2)
Q6IAN0	DRS7B_HUMAN	Dehydrogenase/reductase SDR family member 7B (EC 1.1.-.-) (Short-chain dehydrogenase/reductase family 32C member 1)
Q02487	DSC2_HUMAN	Desmocollin-2 (Cadherin family member 2) (Desmocollin-3) (Desmosomal glycoprotein II) (Desmosomal glycoprotein III)
O14972	DSCR3_HUMAN	Down syndrome critical region protein 3 (Down syndrome critical region protein A)
Q14126	DSG2_HUMAN	Desmoglein-2 (Cadherin family member 5) (HDGC)
P32926	DSG3_HUMAN	Desmoglein-3 (130 kDa pemphigus vulgaris antigen) (PVA) (Cadherin family member 6)
Q9H410	DSN1_HUMAN	Kinetochore-associated protein DSN1 homolog
P55265	DSRAD_HUMAN	Double-stranded RNA-specific adenosine deaminase (DRADA) (EC 3.5.4.37) (136 kDa double-stranded RNA-binding protein) (p136) (Interferon-inducible protein 4) (IFI-4) (K88DSRBP)
Q96EV8	DTBP1_HUMAN	Dysbindin (Biogenesis of lysosome-related organelles complex 1 subunit 8) (BLOC-1 subunit 8) (Dysbindin-1) (Dystrobrevin-binding protein 1) (Hermansky-Pudlak syndrome 7 protein) (HPS7 protein)
Q8TEA8	DTD1_HUMAN	D-aminoacyl-tRNA deacylase 1 (DTD) (EC 3.1.1.96) (DNA-unwinding element-binding protein B) (DUE-B) (Gly-tRNA(Ala) deacylase) (EC 3.1.1.-) (Histidyl-tRNA synthase-related)
O60941	DTNB_HUMAN	Dystrobrevin beta (DTN-B) (Beta-dystrobrevin)
Q8NBA8	DTWD2_HUMAN	DTW domain-containing protein 2
Q8TDB6	DTX3L_HUMAN	E3 ubiquitin-protein ligase DTX3L (EC 2.3.2.27) (B-lymphoma- and BAL-associated protein) (Protein deltex-3-like) (RING-type E3 ubiquitin transferase DTX3L) (Rhysin-2) (Rhysin2)
O75319	DUS11_HUMAN	RNA/RNP complex-1-interacting phosphatase (EC 3.1.3.-) (Dual specificity protein phosphatase 11) (Phosphatase that interacts with RNA/RNP complex 1)
Q9UNI6	DUS12_HUMAN	Dual specificity protein phosphatase 12 (EC 3.1.3.16) (EC 3.1.3.48) (Dual specificity tyrosine phosphatase YVH1)
Q6P1R4	DUS1L_HUMAN	tRNA-dihydrouridine(16/17) synthase [NAD(P)(+)]-like (EC 1.3.1.-) (tRNA-dihydrouridine synthase 1-like)
Q9BVJ7	DUS23_HUMAN	Dual specificity protein phosphatase 23 (EC 3.1.3.16) (EC 3.1.3.48) (Low molecular mass dual specificity phosphatase 3) (LDP-3) (VH1-like phosphatase Z)
Q9NX74	DUS2L_HUMAN	tRNA-dihydrouridine(20) synthase [NAD(P)+]-like (EC 1.3.1.-) (Dihydrouridine synthase 2) (Up-regulated in lung cancer protein 8) (URLC8) (tRNA-dihydrouridine synthase 2-like) (hDUS2)
P51452	DUS3_HUMAN	Dual specificity protein phosphatase 3 (EC 3.1.3.16) (EC 3.1.3.48) (Dual specificity protein phosphatase VHR) (Vaccinia H1-related phosphatase) (VHR)
Q96G46	DUS3L_HUMAN	tRNA-dihydrouridine(47) synthase [NAD(P)(+)]-like (EC 1.3.1.-) (tRNA-dihydrouridine synthase 3-like)
Q13115	DUS4_HUMAN	Dual specificity protein phosphatase 4 (EC 3.1.3.16) (EC 3.1.3.48) (Dual specificity protein phosphatase hVH2) (Mitogen-activated protein kinase phosphatase 2) (MAP kinase phosphatase 2) (MKP-2)
Q6XUX3	DUSTY_HUMAN	Dual serine/threonine and tyrosine protein kinase (EC 2.7.12.1) (Dusty protein kinase) (Dusty PK) (RIP-homologous kinase) (Receptor-interacting serine/threonine-protein kinase 5) (Sugen kinase 496) (SgK496)
P33316	DUT_HUMAN	Deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial (dUTPase) (EC 3.6.1.23) (dUTP pyrophosphatase)
O14640	DVL1_HUMAN	Segment polarity protein dishevelled homolog DVL-1 (Dishevelled-1) (DSH homolog 1)
O14641	DVL2_HUMAN	Segment polarity protein dishevelled homolog DVL-2 (Dishevelled-2) (DSH homolog 2)
Q92997	DVL3_HUMAN	Segment polarity protein dishevelled homolog DVL-3 (Dishevelled-3) (DSH homolog 3)
O00148	DX39A_HUMAN	ATP-dependent RNA helicase DDX39A (EC 3.6.4.13) (DEAD box protein 39) (Nuclear RNA helicase URH49)
Q13838	DX39B_HUMAN	Spliceosome RNA helicase DDX39B (EC 3.6.4.13) (56 kDa U2AF65-associated protein) (ATP-dependent RNA helicase p47) (DEAD box protein UAP56) (HLA-B-associated transcript 1 protein)
O77932	DXO_HUMAN	Decapping and exoribonuclease protein (DXO) (EC 3.1.13.-) (EC 3.6.1.-) (Dom-3 homolog Z)
Q14204	DYHC1_HUMAN	Cytoplasmic dynein 1 heavy chain 1 (Cytoplasmic dynein heavy chain 1) (Dynein heavy chain, cytosolic)
Q8NCM8	DYHC2_HUMAN	Cytoplasmic dynein 2 heavy chain 1 (Cytoplasmic dynein 2 heavy chain) (Dynein cytoplasmic heavy chain 2) (Dynein heavy chain 11) (hDHC11) (Dynein heavy chain isotype 1B)
P63167	DYL1_HUMAN	Dynein light chain 1, cytoplasmic (8 kDa dynein light chain) (DLC8) (Dynein light chain LC8-type 1) (Protein inhibitor of neuronal nitric oxide synthase) (PIN)
Q96FJ2	DYL2_HUMAN	Dynein light chain 2, cytoplasmic (8 kDa dynein light chain b) (DLC8b) (Dynein light chain LC8-type 2)
P63172	DYLT1_HUMAN	Dynein light chain Tctex-type 1 (Protein CW-1) (T-complex testis-specific protein 1 homolog)
Q7RTS9	DYM_HUMAN	Dymeclin (Dyggve-Melchior-Clausen syndrome protein)
Q05193	DYN1_HUMAN	Dynamin-1 (EC 3.6.5.5)
P50570	DYN2_HUMAN	Dynamin-2 (EC 3.6.5.5)
Q13627	DYR1A_HUMAN	Dual specificity tyrosine-phosphorylation-regulated kinase 1A (EC 2.7.12.1) (Dual specificity YAK1-related kinase) (HP86) (Protein kinase minibrain homolog) (MNBH) (hMNB)
P00374	DYR_HUMAN	Dihydrofolate reductase (EC 1.5.1.3)
Q03001	DYST_HUMAN	Dystonin (230 kDa bullous pemphigoid antigen) (230/240 kDa bullous pemphigoid antigen) (Bullous pemphigoid antigen 1) (BPA) (Bullous pemphigoid antigen) (Dystonia musculorum protein) (Hemidesmosomal plaque protein)
P19525	E2AK2_HUMAN	Interferon-induced, double-stranded RNA-activated protein kinase (EC 2.7.11.1) (Eukaryotic translation initiation factor 2-alpha kinase 2) (eIF-2A protein kinase 2) (Interferon-inducible RNA-dependent protein kinase) (P1/eIF-2A protein kinase) (Protein kinase RNA-activated) (PKR) (Protein kinase R) (Tyrosine-protein kinase EIF2AK2) (EC 2.7.10.2) (p68 kinase)
Q9NZJ5	E2AK3_HUMAN	Eukaryotic translation initiation factor 2-alpha kinase 3 (EC 2.7.11.1) (PRKR-like endoplasmic reticulum kinase) (Pancreatic eIF2-alpha kinase) (HsPEK)
Q9P2K8	E2AK4_HUMAN	eIF-2-alpha kinase GCN2 (EC 2.7.11.1) (Eukaryotic translation initiation factor 2-alpha kinase 4) (GCN2-like protein)
Q9H4G0	E41L1_HUMAN	Band 4.1-like protein 1 (Neuronal protein 4.1) (4.1N)
O43491	E41L2_HUMAN	Band 4.1-like protein 2 (Generally expressed protein 4.1) (4.1G)
Q9HCM4	E41L5_HUMAN	Band 4.1-like protein 5
Q9H329	E41LB_HUMAN	Band 4.1-like protein 4B (FERM-containing protein CG1) (Protein EHM2)
Q9HAF1	EAF6_HUMAN	Chromatin modification-related protein MEAF6 (MYST/Esa1-associated factor 6) (Esa1-associated factor 6 homolog) (Protein EAF6 homolog) (hEAF6) (Sarcoma antigen NY-SAR-91)
Q56P03	EAPP_HUMAN	E2F-associated phosphoprotein (EAPP)
Q99848	EBP2_HUMAN	Probable rRNA-processing protein EBP2 (EBNA1-binding protein 2) (Nucleolar protein p40)
Q15125	EBP_HUMAN	3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase (EC 5.3.3.5) (Cholestenol Delta-isomerase) (Delta(8)-Delta(7) sterol isomerase) (D8-D7 sterol isomerase) (Emopamil-binding protein)
P42892	ECE1_HUMAN	Endothelin-converting enzyme 1 (ECE-1) (EC 3.4.24.71)
Q13011	ECH1_HUMAN	Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial (EC 5.3.3.-)
P40939	ECHA_HUMAN	Trifunctional enzyme subunit alpha, mitochondrial (78 kDa gastrin-binding protein) (TP-alpha) [Includes: Long-chain enoyl-CoA hydratase (EC 4.2.1.17); Long chain 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.211)]
P55084	ECHB_HUMAN	Trifunctional enzyme subunit beta, mitochondrial (TP-beta) [Includes: 3-ketoacyl-CoA thiolase (EC 2.3.1.16) (Acetyl-CoA acyltransferase) (Beta-ketothiolase)]
Q9NTX5	ECHD1_HUMAN	Ethylmalonyl-CoA decarboxylase (EC 4.1.1.94) (Enoyl-CoA hydratase domain-containing protein 1) (Methylmalonyl-CoA decarboxylase) (MMCD) (EC 4.1.1.41)
Q96DC8	ECHD3_HUMAN	Enoyl-CoA hydratase domain-containing protein 3, mitochondrial
P30084	ECHM_HUMAN	Enoyl-CoA hydratase, mitochondrial (EC 4.2.1.17) (Enoyl-CoA hydratase 1) (Short-chain enoyl-CoA hydratase) (SCEH)
Q08426	ECHP_HUMAN	Peroxisomal bifunctional enzyme (PBE) (PBFE) [Includes: Enoyl-CoA hydratase/3,2-trans-enoyl-CoA isomerase (EC 4.2.1.17) (EC 5.3.3.8); 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)]
P42126	ECI1_HUMAN	Enoyl-CoA delta isomerase 1, mitochondrial (EC 5.3.3.8) (3,2-trans-enoyl-CoA isomerase) (Delta(3),Delta(2)-enoyl-CoA isomerase) (D3,D2-enoyl-CoA isomerase) (Dodecenoyl-CoA isomerase)
O75521	ECI2_HUMAN	Enoyl-CoA delta isomerase 2, mitochondrial (EC 5.3.3.8) (DRS-1) (Delta(3),delta(2)-enoyl-CoA isomerase) (D3,D2-enoyl-CoA isomerase) (Diazepam-binding inhibitor-related protein 1) (DBI-related protein 1) (Dodecenoyl-CoA isomerase) (Hepatocellular carcinoma-associated antigen 88) (Peroxisomal 3,2-trans-enoyl-CoA isomerase) (pECI) (Renal carcinoma antigen NY-REN-1)
Q16610	ECM1_HUMAN	Extracellular matrix protein 1 (Secretory component p85)
Q5VYK3	ECM29_HUMAN	Proteasome adapter and scaffold protein ECM29 (Ecm29 proteasome adapter and scaffold) (Proteasome-associated protein ECM29 homolog)
Q9BQ95	ECSIT_HUMAN	Evolutionarily conserved signaling intermediate in Toll pathway, mitochondrial (Protein SITPEC)
Q9H8V3	ECT2_HUMAN	Protein ECT2 (Epithelial cell-transforming sequence 2 oncogene)
Q96F86	EDC3_HUMAN	Enhancer of mRNA-decapping protein 3 (LSM16 homolog) (YjeF N-terminal domain-containing protein 2) (YjeF_N2) (hYjeF_N2) (YjeF domain-containing protein 1)
Q6P2E9	EDC4_HUMAN	Enhancer of mRNA-decapping protein 4 (Autoantigen Ge-1) (Autoantigen RCD-8) (Human enhancer of decapping large subunit) (Hedls)
Q92611	EDEM1_HUMAN	ER degradation-enhancing alpha-mannosidase-like protein 1
Q9BZQ6	EDEM3_HUMAN	ER degradation-enhancing alpha-mannosidase-like protein 3 (EC 3.2.1.113) (Alpha-1,2-mannosidase EDEM3)
O60869	EDF1_HUMAN	Endothelial differentiation-related factor 1 (EDF-1) (Multiprotein-bridging factor 1) (MBF1)
Q15075	EEA1_HUMAN	Early endosome antigen 1 (Endosome-associated protein p162) (Zinc finger FYVE domain-containing protein 2)
O75530	EED_HUMAN	Polycomb protein EED (hEED) (Embryonic ectoderm development protein) (WD protein associating with integrin cytoplasmic tails 1) (WAIT-1)
Q7L9B9	EEPD1_HUMAN	Endonuclease/exonuclease/phosphatase family domain-containing protein 1
P68104	EF1A1_HUMAN	Elongation factor 1-alpha 1 (EF-1-alpha-1) (Elongation factor Tu) (EF-Tu) (Eukaryotic elongation factor 1 A-1) (eEF1A-1) (Leukocyte receptor cluster member 7)
Q05639	EF1A2_HUMAN	Elongation factor 1-alpha 2 (EF-1-alpha-2) (Eukaryotic elongation factor 1 A-2) (eEF1A-2) (Statin-S1)
P24534	EF1B_HUMAN	Elongation factor 1-beta (EF-1-beta)
P29692	EF1D_HUMAN	Elongation factor 1-delta (EF-1-delta) (Antigen NY-CO-4)
P26641	EF1G_HUMAN	Elongation factor 1-gamma (EF-1-gamma) (eEF-1B gamma)
P13639	EF2_HUMAN	Elongation factor 2 (EF-2)
O00418	EF2K_HUMAN	Eukaryotic elongation factor 2 kinase (eEF-2 kinase) (eEF-2K) (EC 2.7.11.20) (Calcium/calmodulin-dependent eukaryotic elongation factor 2 kinase)
O75071	EFC14_HUMAN	EF-hand calcium-binding domain-containing protein 14
Q96RP9	EFGM_HUMAN	Elongation factor G, mitochondrial (EF-Gmt) (Elongation factor G 1, mitochondrial) (mEF-G 1) (Elongation factor G1) (hEFG1)
Q9BUP0	EFHD1_HUMAN	EF-hand domain-containing protein D1 (EF-hand domain-containing protein 1) (Swiprosin-2)
Q96C19	EFHD2_HUMAN	EF-hand domain-containing protein D2 (Swiprosin-1)
Q14156	EFR3A_HUMAN	Protein EFR3 homolog A (Protein EFR3-like)
P43897	EFTS_HUMAN	Elongation factor Ts, mitochondrial (EF-Ts) (EF-TsMt)
P49411	EFTU_HUMAN	Elongation factor Tu, mitochondrial (EF-Tu) (P43)
P00533	EGFR_HUMAN	Epidermal growth factor receptor (EC 2.7.10.1) (Proto-oncogene c-ErbB-1) (Receptor tyrosine-protein kinase erbB-1)
Q9GZT9	EGLN1_HUMAN	Egl nine homolog 1 (EC 1.14.11.29) (Hypoxia-inducible factor prolyl hydroxylase 2) (HIF-PH2) (HIF-prolyl hydroxylase 2) (HPH-2) (Prolyl hydroxylase domain-containing protein 2) (PHD2) (SM-20)
Q8N3D4	EH1L1_HUMAN	EH domain-binding protein 1-like protein 1
Q8NDI1	EHBP1_HUMAN	EH domain-binding protein 1
Q9H4M9	EHD1_HUMAN	EH domain-containing protein 1 (PAST homolog 1) (hPAST1) (Testilin)
Q9NZN4	EHD2_HUMAN	EH domain-containing protein 2 (PAST homolog 2)
Q9H223	EHD4_HUMAN	EH domain-containing protein 4 (Hepatocellular carcinoma-associated protein 10/11) (PAST homolog 4)
Q9H9B1	EHMT1_HUMAN	Histone-lysine N-methyltransferase EHMT1 (EC 2.1.1.-) (EC 2.1.1.43) (Euchromatic histone-lysine N-methyltransferase 1) (Eu-HMTase1) (G9a-like protein 1) (GLP) (GLP1) (Histone H3-K9 methyltransferase 5) (H3-K9-HMTase 5) (Lysine N-methyltransferase 1D)
Q96KQ7	EHMT2_HUMAN	Histone-lysine N-methyltransferase EHMT2 (EC 2.1.1.-) (EC 2.1.1.43) (Euchromatic histone-lysine N-methyltransferase 2) (HLA-B-associated transcript 8) (Histone H3-K9 methyltransferase 3) (H3-K9-HMTase 3) (Lysine N-methyltransferase 1C) (Protein G9a)
Q14232	EI2BA_HUMAN	Translation initiation factor eIF-2B subunit alpha (eIF-2B GDP-GTP exchange factor subunit alpha)
P49770	EI2BB_HUMAN	Translation initiation factor eIF-2B subunit beta (S20I15) (S20III15) (eIF-2B GDP-GTP exchange factor subunit beta)
Q9UI10	EI2BD_HUMAN	Translation initiation factor eIF-2B subunit delta (eIF-2B GDP-GTP exchange factor subunit delta)
Q13144	EI2BE_HUMAN	Translation initiation factor eIF-2B subunit epsilon (eIF-2B GDP-GTP exchange factor subunit epsilon)
Q9NR50	EI2BG_HUMAN	Translation initiation factor eIF-2B subunit gamma (eIF-2B GDP-GTP exchange factor subunit gamma)
Q8N9N8	EIF1A_HUMAN	Probable RNA-binding protein EIF1AD (Eukaryotic translation initiation factor 1A domain-containing protein) (Haponin)
O60739	EIF1B_HUMAN	Eukaryotic translation initiation factor 1b (eIF1b) (Protein translation factor SUI1 homolog GC20)
Q9BY44	EIF2A_HUMAN	Eukaryotic translation initiation factor 2A (eIF-2A) (65 kDa eukaryotic translation initiation factor 2A) [Cleaved into: Eukaryotic translation initiation factor 2A, N-terminally processed]
P41214	EIF2D_HUMAN	Eukaryotic translation initiation factor 2D (eIF2d) (Hepatocellular carcinoma-associated antigen 56) (Ligatin)
Q14152	EIF3A_HUMAN	Eukaryotic translation initiation factor 3 subunit A (eIF3a) (Eukaryotic translation initiation factor 3 subunit 10) (eIF-3-theta) (eIF3 p167) (eIF3 p180) (eIF3 p185)
P55884	EIF3B_HUMAN	Eukaryotic translation initiation factor 3 subunit B (eIF3b) (Eukaryotic translation initiation factor 3 subunit 9) (Prt1 homolog) (hPrt1) (eIF-3-eta) (eIF3 p110) (eIF3 p116)
Q99613	EIF3C_HUMAN	Eukaryotic translation initiation factor 3 subunit C (eIF3c) (Eukaryotic translation initiation factor 3 subunit 8) (eIF3 p110)
O15371	EIF3D_HUMAN	Eukaryotic translation initiation factor 3 subunit D (eIF3d) (Eukaryotic translation initiation factor 3 subunit 7) (eIF-3-zeta) (eIF3 p66)
P60228	EIF3E_HUMAN	Eukaryotic translation initiation factor 3 subunit E (eIF3e) (Eukaryotic translation initiation factor 3 subunit 6) (Viral integration site protein INT-6 homolog) (eIF-3 p48)
O00303	EIF3F_HUMAN	Eukaryotic translation initiation factor 3 subunit F (eIF3f) (Deubiquitinating enzyme eIF3f) (EC 3.4.19.12) (Eukaryotic translation initiation factor 3 subunit 5) (eIF-3-epsilon) (eIF3 p47)
O75821	EIF3G_HUMAN	Eukaryotic translation initiation factor 3 subunit G (eIF3g) (Eukaryotic translation initiation factor 3 RNA-binding subunit) (eIF-3 RNA-binding subunit) (Eukaryotic translation initiation factor 3 subunit 4) (eIF-3-delta) (eIF3 p42) (eIF3 p44)
O15372	EIF3H_HUMAN	Eukaryotic translation initiation factor 3 subunit H (eIF3h) (Eukaryotic translation initiation factor 3 subunit 3) (eIF-3-gamma) (eIF3 p40 subunit)
Q13347	EIF3I_HUMAN	Eukaryotic translation initiation factor 3 subunit I (eIF3i) (Eukaryotic translation initiation factor 3 subunit 2) (TGF-beta receptor-interacting protein 1) (TRIP-1) (eIF-3-beta) (eIF3 p36)
O75822	EIF3J_HUMAN	Eukaryotic translation initiation factor 3 subunit J (eIF3j) (Eukaryotic translation initiation factor 3 subunit 1) (eIF-3-alpha) (eIF3 p35)
Q9UBQ5	EIF3K_HUMAN	Eukaryotic translation initiation factor 3 subunit K (eIF3k) (Eukaryotic translation initiation factor 3 subunit 12) (Muscle-specific gene M9 protein) (PLAC-24) (eIF-3 p25) (eIF-3 p28)
Q9Y262	EIF3L_HUMAN	Eukaryotic translation initiation factor 3 subunit L (eIF3l) (Eukaryotic translation initiation factor 3 subunit 6-interacting protein) (Eukaryotic translation initiation factor 3 subunit E-interacting protein)
Q7L2H7	EIF3M_HUMAN	Eukaryotic translation initiation factor 3 subunit M (eIF3m) (Fetal lung protein B5) (hFL-B5) (PCI domain-containing protein 1)
Q9HBU6	EKI1_HUMAN	Ethanolamine kinase 1 (EKI 1) (EC 2.7.1.82)
Q9NVF9	EKI2_HUMAN	Ethanolamine kinase 2 (EKI 2) (EC 2.7.1.82) (Ethanolamine kinase-like protein)
Q15717	ELAV1_HUMAN	ELAV-like protein 1 (Hu-antigen R) (HuR)
Q12926	ELAV2_HUMAN	ELAV-like protein 2 (ELAV-like neuronal protein 1) (Hu-antigen B) (HuB) (Nervous system-specific RNA-binding protein Hel-N1)
P32519	ELF1_HUMAN	ETS-related transcription factor Elf-1 (E74-like factor 1)
Q15723	ELF2_HUMAN	ETS-related transcription factor Elf-2 (E74-like factor 2) (New ETS-related factor)
